feature,modality,auc,disc,p,neglog10p,cohens_d,nunique
labs_item_51006,labs,0.6191208791208791,0.6191208791208791,0.05060099993451777,1.2958409009121277,0.39416761151366225,95
labs_item_51133,labs,0.42901098901098894,0.570989010989011,0.2025591230224496,0.6934481919319696,0.028663158878024255,46
labs_item_51146,labs,0.5035164835164835,0.5035164835164835,0.9567283333742369,0.01921136427728936,0.02765208847531267,56
labs_item_51200,labs,0.4254945054945055,0.5745054945054945,0.22174804876165255,0.6541401929878955,-0.2169086145358628,75
labs_item_51221,labs,0.4338461538461538,0.5661538461538462,0.2783634569942741,0.5553877786426983,-0.11071090871882779,100
labs_item_51222,labs,0.4259340659340659,0.5740659340659341,0.22471588225737482,0.6483662318399628,-0.13687146564314395,100
labs_item_51237,labs,0.6063736263736264,0.6063736263736264,0.08082290292707635,1.0924655549999096,0.43912288425736673,75
labs_item_51244,labs,0.3547252747252747,0.6452747252747253,0.017047574548085264,1.7683374017338187,-0.49222481649278726,90
labs_item_51248,labs,0.4074725274725275,0.5925274725274725,0.1291130495793076,0.8890298609568791,-0.35106866862491604,99
labs_item_51249,labs,0.5048351648351649,0.5048351648351649,0.9395134944677936,0.027096977638165154,0.006484520326734187,95
labs_item_51250,labs,0.4215384615384615,0.5784615384615386,0.19831681089821906,0.7026404700060765,-0.39094073754774855,97
labs_item_51254,labs,0.503956043956044,0.503956043956044,0.9509988648714474,0.021820001443617485,0.06549825069600908,79
labs_item_51256,labs,0.6417582417582417,0.6417582417582417,0.01992031458049796,1.7007038075039054,0.4550767801031131,90
labs_item_51265,labs,0.556923076923077,0.556923076923077,0.35121116304235456,0.4544316887492812,0.21605393079419594,100
labs_item_51274,labs,0.6134065934065934,0.6134065934065934,0.06275123349030921,1.2023777329103558,0.45110837652001035,93
labs_item_51275,labs,0.5028571428571428,0.5028571428571428,0.9654141554623108,0.015286337593046703,0.10544810570103119,97
labs_item_51277,labs,0.5973626373626373,0.5973626373626373,0.11024284229731626,0.9576495982473385,0.34151830031059055,99
labs_item_51279,labs,0.4940659340659341,0.5059340659340659,0.9251513147459454,0.03378722965575379,0.003148556616128484,100
labs_item_51301,labs,0.5942857142857143,0.5942857142857143,0.12198120935094715,0.9137070652573842,0.563608283753315,100
labs_item_51678,labs,0.5169230769230768,0.5169230769230768,0.7449286723802162,0.12788530936537112,0.1535020106739566,31
labs_item_52069,labs,0.5327472527472527,0.5327472527472527,0.5580512924634957,0.25332588168949366,0.31059028879868383,37
labs_item_52073,labs,0.5296703296703297,0.5296703296703297,0.5958918877286319,0.2248325268737063,0.37794857877703225,42
labs_item_52074,labs,0.5156043956043956,0.5156043956043956,0.7817635936155929,0.10692455833458021,0.3257143385227734,45
labs_item_52075,labs,0.5595604395604395,0.5595604395604395,0.2852915710049345,0.5447110594684825,0.4608544832902514,46
labs_item_52172,labs,0.5507692307692308,0.5507692307692308,0.3763061543888444,0.4244586788492617,0.1781954048197762,52
vitals_item_220045,vitals,0.4549450549450549,0.5450549450549451,0.46104812629679626,0.33625373861420166,-0.178932293912417,100
vitals_item_220050,vitals,0.45406593406593404,0.5459340659340659,0.4320003024411696,0.3645159491376687,-0.17179569792898622,57
vitals_item_220051,vitals,0.40219780219780216,0.5978021978021979,0.09347917947388693,1.0292851083415042,-0.35671772912074773,57
vitals_item_220052,vitals,0.44879120879120876,0.5512087912087913,0.38079117055432743,0.4193131302035032,-0.25127459058628276,57
vitals_item_220179,vitals,0.5428571428571428,0.5428571428571428,0.4833101148362424,0.315774115741322,0.20354193119574684,100
vitals_item_220180,vitals,0.47098901098901097,0.5290109890109891,0.6359639175979186,0.19656752402556613,-0.2246252570156715,99
vitals_item_220181,vitals,0.5173626373626374,0.5173626373626374,0.7780655947376176,0.10898378831655724,-0.052218612336201314,100
vitals_item_220210,vitals,0.6672527472527472,0.6672527472527472,0.006030084133460891,2.2196766284165803,0.5448812374400566,100
vitals_item_220277,vitals,0.5373626373626373,0.5373626373626373,0.5414243381500352,0.2664622256865201,0.060932139905694,97
vitals_item_220739,vitals,0.5347252747252746,0.5347252747252746,0.5657201972494312,0.2473983158726446,0.05361265840736087,63
vitals_item_223761,vitals,0.458021978021978,0.5419780219780219,0.49236915138215454,0.3077091649287634,-0.12906455481527884,95
meds_Acetaminophen,meds,0.5285714285714286,0.5285714285714286,0.4836500571026676,0.31546875661518486,0.14761396705082624,2
