,accuracy,auc,f1,n_features
Fold 1,0.3,0.38095238095238093,0.46153846153846156,35
Fold 2,0.7,0.6666666666666667,0.4,33
Fold 3,0.6,0.6666666666666666,0.5,27
Fold 4,0.3,0.5714285714285714,0.46153846153846156,44
Fold 5,0.7,0.8571428571428572,0.6666666666666666,23
Fold 6,0.4,0.3333333333333333,0.4,32
Fold 7,0.5,0.7083333333333333,0.6153846153846154,17
Fold 8,0.7,0.5833333333333334,0.4,19
Fold 9,0.5,0.625,0.4444444444444444,41
Fold 10,0.5,0.41666666666666663,0.6153846153846154,24
